,Name,Number,Street,Suburb,Link
0,Kerrys Automotive Group,08 89808020,"17-25 Stuart Hwy, Stuart Park",NT 820,/dealer-services/kerrys-automotive-group/AGC-SELLER-8552
1,Centralian Motors,08 8959 7700,"Cnr North Stuart Hwy & Dalgety Road, Alice Springs",NT 870,/dealer-services/centralian-motors/AGC-SELLER-16776
2,Centrepoint Cars,0409988885,"34 North Stuart Highway, Alice Springs",NT 0870,/dealer-services/centrepoint-cars/AGC-SELLER-56801
3,Hidden Valley Ford,08 8947 7777,"674-676 Stuart Highway, Berrimah",NT 828,/dealer-services/hidden-valley-ford/AGC-SELLER-29580
4,Dustins Auto Sales,889844446,"Corner of Stuart Highway and Berrimah Road, BERRIMAH",NT 828,/dealer-services/dustins-auto-sales/AGC-SELLER-51354
5,Stuart Motor Group,08 8947 7777,"674-676 Stuart Highway, Berrimah",NT 828,/dealer-services/stuart-motor-group/AGC-SELLER-51471
6,Peter Kittle Motor Company,08 8952 5500,"46 Stuart Highway, Alice Springs",NT 870,/dealer-services/peter-kittle-motor-company/AGC-SELLER-10648
7,DMG Stuart Park,(08) 8946 4760,"48 Stuart Highway, Stuart Park",NT 0820,/dealer-services/dmg-stuart-park/AGC-SELLER-58150
8,Hidden Valley Ford New Cars,08 8947 7777,"674-676 Stuart Highway, Berrimah",NT 828,/dealer-services/hidden-valley-ford-new-cars/AGC-SELLER-55042
9,Bridge Toyota Darwin Used Cars,08 8946 0000,"1 Stuart Highway, Darwin",NT 800,/dealer-services/bridge-toyota-darwin-used-cars/AGC-SELLER-11029
10,Auto Trend Winnellie,889473533,"478 Stuart Highway, Winnellie",NT 820,/dealer-services/auto-trend-winnellie/AGC-SELLER-17064
11,Pickles Auctions - Darwin,08 8901 6333,"36 Hickman Street, Winnellie",NT 821,/dealer-services/pickles-auctions-darwin/AGC-SELLER-29843
12,Pickles - Darwin,08 8947 0838,"36 Hickman Street, Winnellie",NT 821,/dealer-services/pickles-darwin/AGC-SELLER-51077
13,Discount Cars & Commercials,08 8946 0041,"13-15 Stuart Highway, Darwin",NT 800,/dealer-services/discount-cars-commercials/AGC-SELLER-15774
14,DMG Winnellie,08 89464444,"364 Stuart Highway, Winnellie",NT 0820,/dealer-services/dmg-winnellie/AGC-SELLER-58187
15,Hobart Nissan,03 6213 3300,"235 Argyle Street, Hobart",TAS 7000,/dealer-services/hobart-nissan/AGC-SELLER-58794
16,Jackson Motor Company - Devonport,03 6422 6300,"35 Don Road, Devonport",TAS 7310,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
17,Wayne's Car Sales,03 6231 9626,"217 Argyle Steet, Hobart",TAS 7000,/dealer-services/waynes-car-sales/AGC-SELLER-59186
18,Buckby Motors - BIG YARD at Margaret Street,03 6332 2800,"266 York St, Launceston",TAS 7250,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
19,Buckby Motors St John Street,363322800,"37-41 ST JOHN STREET, Launceston",TAS 7250,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
20,Jackson Motor Company - Group,03 6223 7000,"31 Lower Charles Street, Launceston",TAS 7250,/dealer-services/jackson-motor-company-group/AGC-SELLER-14643
21,Hobart Kia,03 62133444,"1A Brisbane Street, Hobart",TAS 7000,/dealer-services/hobart-kia/AGC-SELLER-59133
22,Cheap Cars,03 6334 2447,"2-10 Tamar St, Launceston",TAS 7250,/dealer-services/cheap-cars/AGC-SELLER-49795
23,The Car Mart Burnie,03 6430 2444,"Cnr Reeves Street and Bass Highway, Burnie",TAS 7320,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
24,Motors Glenorchy,03 6211 0650,"270 Main Rd, Glenorchy",TAS 7010,/dealer-services/motors-glenorchy/AGC-SELLER-10643
25,Motors Burnie New Cars,03 6430 2418,"60 Marine Terrace, Burnie",TAS 7320,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
26,Hobart BMW New Cars,0362369099,"23 Barrack Street, Hobart",TAS 7000,/dealer-services/hobart-bmw-new-cars/AGC-SELLER-58768
27,Pickles - Hobart,02 6239 1188,"56 Sunderland Street, Moonah",TAS 7009,/dealer-services/pickles-hobart/AGC-SELLER-50945
28,Performance Automobiles Group,03 6236 3700,"314 Macquarie Street, Hobart",TAS 7000,/dealer-services/performance-automobiles-group/AGC-SELLER-14624
29,Jackson Motor Company - Hobart,03 62383300,"152-170 Campbell Street, Hobart",TAS 7000,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
